air_temp_bn,fluid_temp,ground_temp,air_umidity,air_temp,gas_umidity,gas_temp,dm3_gas,bio_id,phase_test,Month,air_temp_start,air_temp_end
"(-0.85, 0.227]",17.62,16.75,0.0,0.0,0.0,0.0,0.005,1.5,3.0,6.0,-0.85,0.227
"(0.227, 1.304]",17.386666666666667,16.116666666666667,97.3,1.3,56.86666666666667,5.156666666666666,0.0016666666666666668,1.5,3.0,6.0,0.227,1.304
"(1.304, 2.381]",17.338,16.0895,97.8,1.7600000000000002,57.1185,5.8740000000000006,0.002,1.5,3.0,6.0,1.304,2.381
"(2.381, 3.458]",17.487567567567567,16.53135135135135,97.15675675675676,2.927027027027027,68.75095238095238,4.87952380952381,0.001081081081081081,1.4324324324324325,2.5945945945945947,5.891891891891892,2.381,3.458
"(3.458, 4.535]",17.60690476190476,16.798174603174605,94.28809523809524,4.050793650793651,75.54611940298507,4.306567164179104,0.0013492063492063493,1.3888888888888888,2.3333333333333335,5.761904761904762,3.458,4.535
"(4.535, 5.613]",17.348639053254438,16.60828402366864,93.84556213017751,5.18698224852071,78.08847826086956,5.387934782608696,0.0007100591715976331,1.3668639053254439,2.201183431952663,5.846153846153846,4.535,5.613
"(5.613, 6.69]",17.75581395348837,17.07674418604651,91.84186046511627,6.150581395348838,81.37642857142858,5.68938775510204,0.0008139534883720931,1.3488372093023255,2.0930232558139537,5.784883720930233,5.613,6.69
"(6.69, 7.767]",17.390742358078604,16.73296943231441,91.21353711790394,7.191703056768559,80.01810218978102,6.785333333333333,0.0004366812227074236,1.3187772925764192,1.8951965065502183,5.91703056768559,6.69,7.767
"(7.767, 8.844]",17.12567944250871,16.58937282229965,92.697212543554,8.35156794425087,84.14877906976744,7.240526315789475,0.0004181184668989547,1.2682926829268293,1.5679442508710801,5.986062717770035,7.767,8.844
"(8.844, 9.921]",17.302702702702703,16.62873180873181,93.43762993762994,9.460291060291059,83.27488151658768,8.365215311004784,0.0007692307692307692,1.3097713097713097,1.8336798336798337,6.1933471933471935,8.844,9.921
"(9.921, 10.998]",17.459326923076926,16.610416666666666,94.38253205128204,10.484935897435898,83.53024154589372,10.357246376811593,0.0008012820512820513,1.3717948717948718,2.1891025641025643,6.115384615384615,9.921,10.998
"(10.998, 12.075]",17.17271043771044,16.30770202020202,94.58627946127946,11.540824915824915,84.06391634980989,11.135513307984791,0.000505050505050505,1.3232323232323233,1.867003367003367,6.204545454545454,10.998,12.075
"(12.075, 13.152]",16.22109954456734,16.33839947950553,94.295380611581,12.635003253090435,85.73121008403362,11.846884422110554,0.0005920624593363696,1.3331164606376058,1.767078724788549,6.383214053350684,12.075,13.152
"(13.152, 14.229]",14.956082703423744,14.204779902178746,94.05028901734104,13.705602489995554,84.94720310765815,13.23075055187638,0.0005735882614495331,1.3490440195642508,1.5918185860382392,6.521120497999111,13.152,14.229
"(14.229, 15.306]",16.335436325678497,14.512835073068892,93.04471816283925,14.789436325678496,84.32666666666667,14.520174418604652,0.000651356993736952,1.3870563674321503,1.7068893528183715,6.3632567849686845,14.229,15.306
"(15.306, 16.383]",15.868970647366304,13.480804181745075,93.39987937273824,15.881061519903497,85.46855660377358,15.673503305004722,0.0005307599517490953,1.3988741455568958,1.4000804181745075,6.745878568556494,15.306,16.383
"(16.383, 17.46]",13.837354342249908,15.922671308171491,91.96965921582998,16.915903261267864,84.07341991341991,16.833483535528597,0.0004617075851960425,1.421399780139245,1.3272260901429096,6.99596921949432,16.383,17.46
"(17.46, 18.538]",17.989236800836384,18.858800313643492,92.12166753789859,18.018818609513854,84.10760995850622,18.083211618257263,0.0006926293779404078,1.4587036069001569,1.3868269733403031,5.8646105593308935,17.46,18.538
"(18.538, 19.615]",16.850176487332764,19.385286080273268,91.2535439795047,19.071932820950753,84.0319384359401,19.657703826955075,0.0006063193851409052,1.4702533447196129,1.3595217762596072,5.899800740108169,18.538,19.615
"(19.615, 20.692]",19.51344699318041,20.202603843769374,90.13323000619962,20.141320520768755,84.29138914443423,20.226213235294118,0.0006261624302541848,1.4730316181029137,1.374457532548047,5.150340979541228,19.615,20.692
"(20.692, 21.769]",20.46124830393487,20.68880868385346,89.06572591587518,21.17829036635007,85.1632803030303,21.602987111448066,0.0006947082767978291,1.4808683853459972,1.4203527815468113,4.825237449118046,20.692,21.769
"(21.769, 22.846]",20.18511958405546,19.900838821490467,85.11830155979203,22.26894280762565,84.77183794466404,22.841207065750734,0.0007279029462738302,1.4793760831889082,1.3954939341421144,4.839861351819757,21.769,22.846
"(22.846, 23.923]",19.786993927125504,19.230217611336034,80.19544534412957,23.380718623481783,83.77844686648501,25.01951285520974,0.0007894736842105263,1.4701417004048583,1.430161943319838,5.141194331983805,22.846,23.923
"(23.923, 25.0]",19.40591054313099,18.191929712460063,74.94421725239616,24.481341853035147,83.53868512110726,27.333200692041522,0.0007156549520766774,1.4670926517571885,1.4198083067092653,5.665814696485623,23.923,25.0
