ground_temp_bn,fluid_temp,ground_temp,air_umidity,air_temp,gas_umidity,gas_temp,dm3_gas,bio_id,phase_test,Month,ground_temp_start,ground_temp_end
"(-0.85, 0.227]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.85,0.227
"(0.227, 1.304]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.227,1.304
"(1.304, 2.381]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.304,2.381
"(2.381, 3.458]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.381,3.458
"(3.458, 4.535]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.458,4.535
"(4.535, 5.613]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.535,5.613
"(5.613, 6.69]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.613,6.69
"(6.69, 7.767]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.69,7.767
"(7.767, 8.844]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.767,8.844
"(8.844, 9.921]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.844,9.921
"(9.921, 10.998]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.921,10.998
"(10.998, 12.075]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.998,12.075
"(12.075, 13.152]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.075,13.152
"(13.152, 14.229]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.152,14.229
"(14.229, 15.306]",14.912425978987583,14.955783190066857,86.70042979942694,14.573973256924546,85.51406799531067,14.133754406580495,4.775549188156638e-06,1.0,0.7134670487106017,7.118433619866285,14.229,15.306
"(15.306, 16.383]",16.51775621301775,15.829815384615385,86.6457278106509,14.55360946745562,86.93805309734513,13.712511097019659,0.0004260355029585799,1.3055621301775149,1.9846153846153847,6.429112426035503,15.306,16.383
"(16.383, 17.46]",17.665978391356543,16.811472589035617,91.16054421768708,13.729731892757103,77.73506711409395,14.337830923248053,0.0008643457382953182,1.386154461784714,2.146458583433373,5.853141256502601,16.383,17.46
"(17.46, 18.538]",18.942275280898876,18.062394662921346,80.17373595505617,18.141221910112357,82.96020118343195,22.35351479289941,0.0008707865168539326,1.7162921348314606,1.7071629213483146,7.178370786516854,17.46,18.538
"(18.538, 19.615]",19.658478023179534,19.059956265033897,84.4579706975727,17.885108244041113,84.45774227902024,20.30378061767838,0.0004526568991909031,1.4775858298709819,1.5138858517384648,7.7061010277717035,18.538,19.615
"(19.615, 20.692]",20.462676179382644,20.05624053581829,82.31840419336052,20.42472335468841,80.87753731343284,23.771925373134327,0.0005736750145602796,1.4205008736167735,1.3966220151426907,8.00669772859639,19.615,20.692
"(20.692, 21.769]",3.3529384301138023,21.399133352786695,81.25415815582141,22.455018967026554,82.27106546854942,27.319375804375802,0.0005325357455500438,1.8135395389553546,1.2348993288590604,6.795302013422819,20.692,21.769
"(21.769, 22.846]",22.64255369033105,22.33668948701116,83.00293538403827,22.887911469567662,81.49077348066298,26.796119402985077,0.0005701960048766763,1.544874800712745,1.2698114977023351,4.614555003282378,21.769,22.846
"(22.846, 23.923]",23.17162951807229,23.262614457831326,85.84048192771085,22.813102409638553,85.09858958068615,21.32748411689962,0.0012530120481927711,1.3484939759036145,1.5409638554216867,3.6656626506024095,22.846,23.923
"(23.923, 25.0]",23.59618699952897,24.35532972209138,84.16641544983513,23.512411681582666,84.88201449275361,25.659456521739134,0.0009797456429580782,1.0,1.450777202072539,2.3546867640131888,23.923,25.0
